Approximate;1;1024;0.000791;1.050371;1.051185;
OMP+CUDA;1;1024;0.000000;0.008408;1.257000;
OMP+CUDA_L1;1;1024;0.000000;0.008976;1.264000;
Approximate;2;1024;0.000560;0.527881;0.528462;
OMP+CUDA;2;1024;0.001000;0.008016;0.417000;
OMP+CUDA_L1;2;1024;0.000000;0.008032;0.421000;
Approximate;4;1024;0.000522;0.260236;0.260776;
OMP+CUDA;4;1024;0.000000;0.008923;0.207000;
OMP+CUDA_L1;4;1024;0.000000;0.008559;0.194000;
Approximate;8;1024;0.000585;0.134351;0.134961;
OMP+CUDA;8;1024;0.000000;0.008523;0.141000;
OMP+CUDA_L1;8;1024;0.000000;0.008776;0.128000;
Approximate;1;1024;0.000694;1.045139;1.045859;
OMP+CUDA;1;1024;0.000000;0.009824;1.261000;
OMP+CUDA_L1;1;1024;0.000000;0.008614;1.250000;
Approximate;2;1024;0.000519;0.514792;0.515329;
OMP+CUDA;2;1024;0.000000;0.008282;0.417000;
OMP+CUDA_L1;2;1024;0.000000;0.008636;0.414000;
Approximate;4;1024;0.000528;0.261649;0.262206;
OMP+CUDA;4;1024;0.000000;0.008804;0.193000;
OMP+CUDA_L1;4;1024;0.000000;0.009003;0.195000;
Approximate;8;1024;0.000502;0.130219;0.130740;
OMP+CUDA;8;1024;0.000000;0.008454;0.135000;
OMP+CUDA_L1;8;1024;0.000000;0.008852;0.132000;
Approximate;1;1024;0.000530;1.041090;1.041640;
OMP+CUDA;1;1024;0.000000;0.008909;1.253000;
OMP+CUDA_L1;1;1024;0.000000;0.008405;1.217000;
Approximate;2;1024;0.000500;0.504666;0.505186;
OMP+CUDA;2;1024;0.000000;0.008227;0.430000;
OMP+CUDA_L1;2;1024;0.000000;0.008669;0.405000;
Approximate;4;1024;0.000509;0.254495;0.255024;
OMP+CUDA;4;1024;0.000000;0.008184;0.207000;
OMP+CUDA_L1;4;1024;0.000000;0.008717;0.211000;
Approximate;8;1024;0.000502;0.141468;0.141989;
OMP+CUDA;8;1024;0.000000;0.008839;0.137000;
OMP+CUDA_L1;8;1024;0.000000;0.008202;0.133000;
Approximate;1;1024;0.000700;1.028298;1.029020;
OMP+CUDA;1;1024;0.001000;0.007852;1.262000;
OMP+CUDA_L1;1;1024;0.000000;0.008309;1.233000;
Approximate;2;1024;0.000639;0.511036;0.511693;
OMP+CUDA;2;1024;0.001000;0.008315;0.448000;
OMP+CUDA_L1;2;1024;0.000000;0.008532;0.422000;
Approximate;4;1024;0.000497;0.251243;0.251759;
OMP+CUDA;4;1024;0.000000;0.008284;0.206000;
OMP+CUDA_L1;4;1024;0.000000;0.010140;0.189000;
Approximate;8;1024;0.000505;0.127123;0.127654;
OMP+CUDA;8;1024;0.001000;0.008417;0.159000;
OMP+CUDA_L1;8;1024;0.000000;0.009111;0.133000;
Approximate;1;1024;0.000496;1.046733;1.047248;
OMP+CUDA;1;1024;0.000000;0.008598;1.251000;
OMP+CUDA_L1;1;1024;0.000000;0.008626;1.224000;
Approximate;2;1024;0.000475;0.500214;0.500708;
OMP+CUDA;2;1024;0.001000;0.008037;0.483000;
OMP+CUDA_L1;2;1024;0.000000;0.008882;0.406000;
Approximate;4;1024;0.000507;0.251561;0.252088;
OMP+CUDA;4;1024;0.000000;0.008597;0.194000;
OMP+CUDA_L1;4;1024;0.000000;0.007789;0.200000;
Approximate;8;1024;0.000524;0.123937;0.124480;
OMP+CUDA;8;1024;0.000000;0.008443;0.158000;
OMP+CUDA_L1;8;1024;0.000000;0.008602;0.136000;
Approximate;1;1024;0.000507;1.007877;1.008404;
OMP+CUDA;1;1024;0.000000;0.008690;1.247000;
OMP+CUDA_L1;1;1024;0.000000;0.008006;1.224000;
Approximate;2;1024;0.000493;0.512041;0.512553;
OMP+CUDA;2;1024;0.000000;0.008282;0.400000;
OMP+CUDA_L1;2;1024;0.000000;0.009037;0.415000;
Approximate;4;1024;0.000510;0.252691;0.253222;
OMP+CUDA;4;1024;0.000000;0.008170;0.205000;
OMP+CUDA_L1;4;1024;0.000000;0.008471;0.204000;
Approximate;8;1024;0.000503;0.133654;0.134181;
OMP+CUDA;8;1024;0.000000;0.008079;0.172000;
OMP+CUDA_L1;8;1024;0.000000;0.008305;0.145000;
Approximate;1;1024;0.000550;1.022172;1.022746;
OMP+CUDA;1;1024;0.000000;0.008700;1.229000;
OMP+CUDA_L1;1;1024;0.000000;0.008366;1.206000;
Approximate;2;1024;0.000546;0.508093;0.508658;
OMP+CUDA;2;1024;0.000000;0.007963;0.412000;
OMP+CUDA_L1;2;1024;0.000000;0.008999;0.398000;
Approximate;4;1024;0.000732;0.256897;0.257662;
OMP+CUDA;4;1024;0.000000;0.008347;0.193000;
OMP+CUDA_L1;4;1024;0.000000;0.008604;0.184000;
Approximate;8;1024;0.000620;0.132525;0.133166;
OMP+CUDA;8;1024;0.000000;0.008338;0.131000;
OMP+CUDA_L1;8;1024;0.000000;0.008520;0.130000;
